threshold,threshold_rule,true_accept,false_reject,true_reject,false_accept,in_scope_total,out_of_scope_total,in_scope_acceptance_rate,out_of_scope_rejection_rate,false_reject_rate,false_accept_rate,accept_precision,reject_precision
0.859163,accept_if_top_1_l2_distance_lte_threshold,27,9,4,0,36,4,0.75,1.0,0.25,0.0,1.0,0.3076923076923077
0.901638,accept_if_top_1_l2_distance_lte_threshold,32,4,4,0,36,4,0.8888888888888888,1.0,0.1111111111111111,0.0,1.0,0.5
1.012496,accept_if_top_1_l2_distance_lte_threshold,34,2,4,0,36,4,0.9444444444444444,1.0,0.05555555555555555,0.0,1.0,0.6666666666666666
1.034999,accept_if_top_1_l2_distance_lte_threshold,35,1,4,0,36,4,0.9722222222222222,1.0,0.027777777777777776,0.0,1.0,0.8
1.042478,accept_if_top_1_l2_distance_lte_threshold,36,0,4,0,36,4,1.0,1.0,0.0,0.0,1.0,1.0
1.049957,accept_if_top_1_l2_distance_lte_threshold,36,0,4,0,36,4,1.0,1.0,0.0,0.0,1.0,1.0
1.123829,accept_if_top_1_l2_distance_lte_threshold,36,0,3,1,36,4,1.0,0.75,0.0,0.25,0.972972972972973,1.0
1.263881,accept_if_top_1_l2_distance_lte_threshold,36,0,2,2,36,4,1.0,0.5,0.0,0.5,0.9473684210526315,1.0
1.411476,accept_if_top_1_l2_distance_lte_threshold,36,0,1,3,36,4,1.0,0.25,0.0,0.75,0.9230769230769231,1.0
