experiment_id,chunk_size,chunk_overlap,provider,count,hit_rate_at_1,hit_rate_at_3,mrr
chunk_256_0,256,0,kubernetes,19,0.5789473684210527,0.8421052631578947,0.7185463659147869
chunk_256_0,256,0,aws,17,0.7647058823529411,0.9411764705882353,0.8450980392156863
chunk_256_64,256,64,kubernetes,19,0.5789473684210527,0.8421052631578947,0.7180451127819548
chunk_256_64,256,64,aws,17,0.7647058823529411,0.8823529411764706,0.8372549019607842
chunk_512_0,512,0,kubernetes,19,0.8421052631578947,0.8421052631578947,0.868421052631579
chunk_512_0,512,0,aws,17,0.7647058823529411,0.9411764705882353,0.861344537815126
chunk_512_64,512,64,kubernetes,19,0.7368421052631579,0.8421052631578947,0.8087719298245615
chunk_512_64,512,64,aws,17,0.8235294117647058,0.9411764705882353,0.8823529411764706
chunk_512_128,512,128,kubernetes,19,0.6842105263157895,0.8421052631578947,0.7724310776942356
chunk_512_128,512,128,aws,17,0.7647058823529411,0.9411764705882353,0.8627450980392156
chunk_1024_128,1024,128,kubernetes,19,0.6842105263157895,0.8421052631578947,0.7772556390977443
chunk_1024_128,1024,128,aws,17,0.8235294117647058,1.0,0.9117647058823529
