experiment_id,embedding_model,embedding_type,embedding_dimension,chunk_size,chunk_overlap,chunk_unit,chunk_count,indexed_count,model_load_time_ms,indexing_time_ms,vector_db,chroma_collection,retrieval_top_k,evaluation_depth,evaluation_dataset,held_out_test_used,overall_hit_at_1,overall_hit_at_3,overall_mrr,single_hit_at_1,single_hit_at_3,single_mrr,multi_any_hit_at_3,multi_all_hit_at_3,multi_mrr,mean_latency_ms,median_latency_ms,p95_latency_ms,out_of_scope_count,out_of_scope_top_distance_mean,out_of_scope_top_distance_median,out_of_scope_top_distance_min,out_of_scope_top_distance_max,api_cost_required,external_api_required,api_key_required,local_execution,offline_after_download,question_type_counts,provider_counts
openai_text_embedding_3_small,text-embedding-3-small,api,1536,1024,128,character,483,483,738.8601251877844,7143.3240422047675,Chroma,cloudops_rag_v1_embedding_openai_text_embedding_3_small,3,10,data/evaluation/evaluation_dev.csv,False,0.75,0.9166666666666666,0.8407738095238095,0.7333333333333333,0.9,0.825595238095238,1.0,0.0,0.9166666666666666,185.60385000000002,136.05700000000002,342.587,4,1.2714246809482574,1.2638810276985168,1.049957275390625,1.507979393005371,True,True,True,False,False,"{'single-troubleshooting': 14, 'single-conceptual': 5, 'contextual': 6, 'discrimination': 5, 'multi-document': 6, 'out-of-scope': 4}","{'kubernetes': 19, 'aws': 17, 'out_of_scope': 4}"
local_all_minilm_l6_v2,sentence-transformers/all-MiniLM-L6-v2,local,384,1024,128,character,483,483,7996.3160417973995,5096.2519170716405,Chroma,cloudops_rag_v1_embedding_local_all_minilm_l6_v2,3,10,data/evaluation/evaluation_dev.csv,False,0.7777777777777778,0.8611111111111112,0.8314043209876544,0.7333333333333333,0.8333333333333334,0.7976851851851853,1.0,0.16666666666666666,1.0,4.71245,3.9675000000000002,11.357,4,1.2518979161977768,1.2813228964805603,0.7590063214302063,1.6859395503997803,False,False,False,True,True,"{'single-troubleshooting': 14, 'single-conceptual': 5, 'contextual': 6, 'discrimination': 5, 'multi-document': 6, 'out-of-scope': 4}","{'kubernetes': 19, 'aws': 17, 'out_of_scope': 4}"
