variant,count,hit_at_1_count,hit_at_1,hit_at_3_count,hit_at_3,hit_at_5_count,hit_at_5,mrr,single_count,single_hit_at_1_count,single_hit_at_1,single_hit_at_3_count,single_hit_at_3,single_hit_at_5_count,single_hit_at_5,single_mrr,multi_count,multi_any_hit_at_1_count,multi_any_hit_at_1,multi_any_hit_at_3_count,multi_any_hit_at_3,multi_any_hit_at_5_count,multi_any_hit_at_5,multi_all_hit_at_1_count,multi_all_hit_at_1,multi_all_hit_at_3_count,multi_all_hit_at_3,multi_all_hit_at_5_count,multi_all_hit_at_5,multi_mrr,avg_unique_doc_count,avg_duplicate_chunk_count,avg_duplicate_ratio,max_same_document_occupancy,avg_context_characters,avg_approximate_tokens,query_latency,postprocess_latency
baseline,36,27,0.75,33,0.9166666666666666,33,0.9166666666666666,0.8333333333333334,30,22,0.7333333333333333,27,0.9,27,0.9,0.8166666666666667,6,5,0.8333333333333334,6,1.0,6,1.0,0,0.0,0,0.0,2,0.3333333333333333,0.9166666666666666,1.975,3.025,0.605,5,4941.8,1235.625,"{""mean_ms"": 217.12028860347345, ""median_ms"": 139.1337914392352, ""p95_ms"": 216.80616727098823}","{""mean_ms"": 0.0, ""median_ms"": 0.0, ""p95_ms"": 0.0}"
cap2,36,27,0.75,34,0.9444444444444444,34,0.9444444444444444,0.8425925925925926,30,22,0.7333333333333333,28,0.9333333333333333,28,0.9333333333333333,0.8277777777777777,6,5,0.8333333333333334,6,1.0,6,1.0,0,0.0,3,0.5,4,0.6666666666666666,0.9166666666666666,2.95,1.65,0.36541666666666667,2,4461.05,1115.425,"{""mean_ms"": 217.12028860347345, ""median_ms"": 139.1337914392352, ""p95_ms"": 216.80616727098823}","{""mean_ms"": 0.027617625892162323, ""median_ms"": 0.026603927835822105, ""p95_ms"": 0.0360831618309021}"
