variant,count,hit_at_1_count,hit_at_1,hit_at_3_count,hit_at_3,hit_at_5_count,hit_at_5,mrr,single_count,single_hit_at_1_count,single_hit_at_1,single_hit_at_3_count,single_hit_at_3,single_hit_at_5_count,single_hit_at_5,single_mrr,multi_count,multi_any_hit_at_1_count,multi_any_hit_at_1,multi_any_hit_at_3_count,multi_any_hit_at_3,multi_any_hit_at_5_count,multi_any_hit_at_5,multi_all_hit_at_1_count,multi_all_hit_at_1,multi_all_hit_at_3_count,multi_all_hit_at_3,multi_all_hit_at_5_count,multi_all_hit_at_5,multi_mrr,avg_unique_doc_count,avg_duplicate_chunk_count,avg_duplicate_ratio,max_same_document_occupancy,avg_context_characters,avg_approximate_tokens,query_latency,postprocess_latency
baseline,11,7,0.6363636363636364,11,1.0,11,1.0,0.8030303030303031,8,5,0.625,8,1.0,8,1.0,0.7916666666666666,3,2,0.6666666666666666,3,1.0,3,1.0,0,0.0,1,0.3333333333333333,1,0.3333333333333333,0.8333333333333334,2.0,3.0,0.6,5,5012.166666666667,1253.25,"{""mean_ms"": 701.1784584416697, ""median_ms"": 144.99289589002728, ""p95_ms"": 2012.1143329888582}","{""mean_ms"": 0.0, ""median_ms"": 0.0, ""p95_ms"": 0.0}"
cap2,11,7,0.6363636363636364,11,1.0,11,1.0,0.8030303030303031,8,5,0.625,8,1.0,8,1.0,0.7916666666666666,3,2,0.6666666666666666,3,1.0,3,1.0,0,0.0,1,0.3333333333333333,1,0.3333333333333333,0.8333333333333334,3.3333333333333335,1.5,0.3166666666666667,2,4798.0,1199.6666666666667,"{""mean_ms"": 701.1784584416697, ""median_ms"": 144.99289589002728, ""p95_ms"": 2012.1143329888582}","{""mean_ms"": 0.02667036217947801, ""median_ms"": 0.027791596949100494, ""p95_ms"": 0.030916184186935425}"
