experiment_id,chunk_size,chunk_overlap,chunk_unit,embedding_model,vector_db,collection,configured_top_k,threshold,test_total,in_scope_count,out_of_scope_count,single_count,multi_count,hit_at_1_count,hit_at_3_count,hit_at_5_count,hit_at_1_rate,hit_at_3_rate,hit_at_5_rate,mrr,single_hit_at_1_count,single_hit_at_3_count,single_hit_at_5_count,single_hit_at_1_rate,single_hit_at_3_rate,single_hit_at_5_rate,single_mrr,multi_any_hit_at_1_count,multi_any_hit_at_3_count,multi_any_hit_at_5_count,multi_all_hit_at_1_count,multi_all_hit_at_3_count,multi_all_hit_at_5_count,multi_any_hit_at_1_rate,multi_any_hit_at_3_rate,multi_any_hit_at_5_rate,multi_all_hit_at_1_rate,multi_all_hit_at_3_rate,multi_all_hit_at_5_rate,multi_mrr,true_accept,false_reject,true_reject,false_accept,in_scope_acceptance_rate,out_of_scope_rejection_rate,false_reject_rate,false_accept_rate,avg_unique_doc_count,avg_duplicate_chunk_count,avg_duplicate_ratio,avg_same_doc_occupancy,max_same_doc_occupancy
frozen_final,1024,128,character,text-embedding-3-small,Chroma,cloudops_rag_v1_embedding_openai_text_embedding_3_small,5,1.042478,10,8,2,5,3,7,8,8,0.875,1.0,1.0,0.9375,5,5,5,1.0,1.0,1.0,1.0,2,3,3,0,0,0,0.6666666666666666,1.0,1.0,0.0,0.0,0.0,0.8333333333333334,8,0,2,0,1.0,1.0,0.0,0.0,2.1,2.9,0.58,3.7,5
original_baseline,512,0,character,text-embedding-3-small,Chroma,cloudops_rag_v1_chunk_512_0,3,1.042478,10,8,2,5,3,6,8,8,0.75,1.0,1.0,0.8333333333333334,4,5,5,0.8,1.0,1.0,0.8666666666666666,2,3,3,0,0,0,0.6666666666666666,1.0,1.0,0.0,0.0,0.0,0.7777777777777778,8,0,2,0,1.0,1.0,0.0,0.0,1.4,1.6,0.5333333333333333,2.6,3
